source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2603,10/16/2010 12:00:00 PM,,sitio Bakilid in barangay Lahug,"Another landslide in sitio Bakilid in barangay Lahug also left two families homeless. Lilibeth Magsuling was breastfeeding her two-month-old baby outside their house at 12 noon yesterday when she heard a loud blast behind her. She immediately hugged her baby boy and ran. When she looked back, she saw bamboo trees and soil covering her house. “It’s fortunate that we were outside the house. I was about to put my baby in the cradle inside the house,” she said. Elenit Villaflor was also outside her house in sitio Bakilid with her two-month-old baby when the landslide struck. ",sitio Bakilid in barangay Lahug,5km,landslide,tropical_cyclone,medium,unknown,0.0,,Supertyphoon Juan (Megi),,,glc,2603.0,Philippines,PH,Central Visayas,798634.0,Cebu City,2.02204,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.8978,10.3336
BusinessWorld Online,http://www.bworldonline.com/content.php?section=Nation&title=-death-toll-from-rains-rises-nationwide-floods-displace-hundreds-in-leyte&id=46961,4203,02/16/2012 12:00:00 AM,,"Paguite, Abuyog, Leyte","Thursday’s landslides were noted in Barangays Burubudan, Tadoc and Paguite in Abuyog; Barangays Pulahongon, Mahaplag, Leyte; and Barangay Kahupian, Sogod, Southern Leyte.","Paguite, Abuyog, Leyte",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,4203.0,Philippines,PH,Eastern Visayas,2404.0,Balinsacayao,2.28967,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,124.9668,10.7004
ABS-CBN News,http://news.abs-cbn.com/nation/regions/01/03/09/landslide-matnog-forces-hospital-evacuation,955,01/02/2009 08:30:00 PM,,"Gadgaron village of Matnog town, Sorsogon ","A landslide hit the village in barangay Gadgaron, Matnog town, Sorsogon province around eight o' clock Friday evening. Gadgaron village chief Juanito Gamit said incessant rains these past few days softened the mountain slope, and strong rains Friday evering triggered the 

erosion. Houses near and in front of the eroded mountain were not affected, but a truck parked beneath the mountain was partly buried. The mountain is located along the national road of barangay Gadgaron in Matnog. 1 man was injured.","Gadgaron village of Matnog town, Sorsogon ",5km,landslide,downpour,medium,unknown,0.0,1.0,,,,glc,955.0,Philippines,PH,Bicol,6721.0,Matnog,5.5353,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,124.0419,12.5655
GMA News Online,http://www.gmanetwork.com/news/news/regions/147987/4-killed-2-missing-in-negros-floods-landslides/story/,980,02/07/2009 12:00:00 AM,,Barangay Sagbang in Valencia town,"Four people died while two others were missing as flashfloods and landslides caused by torrential rain struck Negros Oriental in central Philippines over the weekend, the Office of Civil Defense (OCD) said. Mudslides meanwhile hit the home of the Fernandez family in Barangay Sagbang in Valencia town last Saturday, resulting to the deaths of Susan and Judelyn, and injuries to Julius and Marites.",Barangay Sagbang in Valencia town,5km,landslide,downpour,medium,unknown,2.0,,,,,glc,980.0,Philippines,PH,Central Visayas,0.0,Valencia,2.33966,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.226,9.29
GMA News Online,http://www.gmanetwork.com/news/news/regions/171859/landslide-kills-2-sisters-in-laguna-floods-affect-over-103-000-in-luzon/story/,983,09/09/2009 12:00:00 AM,,"Sitio Camcaman in Real village in Calamba City, Laguna","At least two people were killed even as 103,383 people in Central and Southern Luzon were affected in floods and landslides caused by heavy rains in recent days, the National Disaster Coordinating Council (NDCC) said on Wednesday.  In its 9 a.m. report, the NDCC said 21,969 families or 103,383 people were affected in Zambales, Bataan and Pampanga.  The NDCC said the two fatalities - Nerissa Nievres, 3, and sister Nancy, 2 - died after a landslide hit their house at Sitio Camcaman in Real village in Calamba City, Laguna. ","Sitio Camcaman in Real village in Calamba City, Laguna",10km,landslide,downpour,medium,unknown,2.0,,,,,glc,983.0,Philippines,PH,Calabarzon,4164.0,Tignoan,6.62506,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,121.56,14.545
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2601,10/16/2010 12:00:00 AM,,"Barrangay Pulang Bato (Pulangbato), Cebu","Landslides were also reported in Cebu City’s mountain barangays of Kalunasan, Binaliw, Pulang Bato and in Lahug. Heavy rains have also flooded the highway along barangay Lipata in Minglanilla town. Comision said he was among those who were stranded along sitio Linao in barangay Lipata, Minglanilla when water entered his vehicle at he was passing through the area for Cebu City at around 6 p.m. yesterday. The latest record of rainfall was only at 8 millimeters. Although the volume is not as big as the previous rains, floods and landslides could not be discounted, he said. Pag-asa has hoisted storm signal number three over Northern Luzon, the Cagayan Valley, Calayaan Group of Islands, Babuyan Group of islands and Isabela as of 5 p.m. yesterday, as Juan gained strength. ","Barrangay Pulang Bato (Pulangbato), Cebu",25km,landslide,tropical_cyclone,medium,unknown,0.0,,Supertyphoon Juan (Megi),,,glc,2601.0,Philippines,PH,Central Visayas,48638.0,Consolacion,5.0295,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.9153,10.395
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2607,10/17/2010 12:00:00 AM,,"barangay Kalunasan, Cebu","Landslides were also reported in Cebu City’s mountain barangays of Kalunasan, Binaliw, Pulang Bato and in Lahug. Heavy rains have also flooded the highway along barangay Lipata in Minglanilla town. Comision said he was among those who were stranded along sitio Linao in barangay Lipata, Minglanilla when water entered his vehicle at he was passing through the area for Cebu City at around 6 p.m. yesterday. The latest record of rainfall was only at 8 millimeters. Although the volume is not as big as the previous rains, floods and landslides could not be discounted, he said. Pag-asa has hoisted storm signal number three over Northern Luzon, the Cagayan Valley, Calayaan Group of Islands, Babuyan Group of islands and Isabela as of 5 p.m. yesterday, as Juan gained strength.  In barangay Kalunasan, a riprap wall in sitio Lokana collapsed six hours before a landslide momentarily made impassable the road in sitio Tagaytay.","barangay Kalunasan, Cebu",25km,landslide,tropical_cyclone,medium,unknown,0.0,,Supertyphoon Juan (Megi),,,glc,2607.0,Philippines,PH,Central Visayas,7779.0,Asturias,0.5475,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.72,10.57
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2608,10/17/2010 12:00:00 AM,,"Barrangay Binaliw, Cebu","Landslides were also reported in Cebu City’s mountain barangays of Kalunasan, Binaliw, Pulang Bato and in Lahug. Heavy rains have also flooded the highway along barangay Lipata in Minglanilla town. Comision said he was among those who were stranded along sitio Linao in barangay Lipata, Minglanilla when water entered his vehicle at he was passing through the area for Cebu City at around 6 p.m. yesterday. The latest record of rainfall was only at 8 millimeters. Although the volume is not as big as the previous rains, floods and landslides could not be discounted, he said. Pag-asa has hoisted storm signal number three over Northern Luzon, the Cagayan Valley, Calayaan Group of Islands, Babuyan Group of islands and Isabela as of 5 p.m. yesterday, as Juan gained strength. ","Barrangay Binaliw, Cebu",10km,landslide,tropical_cyclone,medium,unknown,0.0,,Supertyphoon Juan (Megi),,,glc,2608.0,Philippines,PH,Central Visayas,2968.0,Sogod,2.66226,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.98,10.77
www.abs-cbnnews.com,http://www.abs-cbnnews.com/nation/regions/07/21/13/rains-cause-landslide-3-cebu-barangays,5154,07/21/2013 12:00:00 AM,,"Sapangdaku, Cebu City","Three barangays in Cebu City experienced landslides due to the non-stop rains that hit the area since Saturday night. According to Cebu City Risk Reduction and Management Council (CDRRMC), the affected barangays were Buhisan, Pamutan at Sapangdaku. The CDRRMC added no one was hurt from the incidents.","Sapangdaku, Cebu City",5km,landslide,rain,medium,unknown,0.0,,,,,glc,5154.0,Philippines,PH,Central Visayas,798634.0,Cebu City,2.8399,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.8725,10.335
Motioncars,http://motioncars.inquirer.net/49864/rains-damage-roads-bridges-cordillera-tourist-towns,9769,05/30/2017 01:34:00 PM,,Rain and Landslide damage in Cordillera Region,Landslides due to rains and flooding affect roads,Sitio Tiktik (??) in Barangay Bontoc,25km,landslide,rain,small,above_road,0.0,0.0,,,,,,,,,,,,06/16/2017 01:34:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,120.9613282,16.77787239
